"ego","site_code","sex","group_id","dob","dod","father","mother"
"pe2004","PE","male","no","2015-99-99",NA,"pe2001","pe2002"
"pe2005","PE","male","no","2017-99-99",NA,"pe2001","pe2002"
"pe2101","PE","male","no","1998-99-99",NA,"pe4501","pe4502"
"pe2102","PE","female","no","1995-99-99",NA,"pe9202","pe9161"
"pe2103","PE","male","no","2017-99-99",NA,"pe2101","pe2102"
"pe2104","PE","male","no","2018-99-99",NA,"pe2101","pe2102"
"pe2201","PE","male","no","1971-99-99",NA,"pe9112","pe9832"
"pe2202","PE","female","no","1983-99-99",NA,"pe9038","pe9028"
"pe2203","PE","female","no","2002-99-99",NA,"pe2201","pe2202"
"pe2204","PE","male","no","2004-99-99",NA,"pe2201","pe2202"
"pe2205","PE","female","no","2008-99-99",NA,"pe2201","pe2202"
"pe2206","PE","female","no","2010-99-99",NA,"pe2201","pe2202"
"pe2207","PE","male","no","2014-99-99",NA,"pe2201","pe2202"
"pe2208","PE","female","no","2017-99-99",NA,"pe2201","pe2202"
"pe2301","PE","female","no","1995-99-99",NA,"pe2701","pe2702"
"pe2302","PE","female","no","2015-99-99",NA,"pe2401","pe2301"
"pe2303","PE","male","no","2017-99-99",NA,"pe2401","pe2301"
"pe2401","PE","male","no","1986-99-99",NA,"pe9718","pe3901"
"pe2402","PE","female","no","1987-99-99",NA,"pe3501","pe3502"
"pe2403","PE","male","no","2006-99-99",NA,"pe2401","pe2402"
"pe2404","PE","female","no","2008-99-99",NA,"pe2401","pe2402"
"pe2405","PE","female","no","2011-99-99",NA,"pe2401","pe2402"
"pe2406","PE","male","no","2014-99-99",NA,"pe2401","pe2402"
"pe2407","PE","female","no","2016-99-99",NA,"pe2401","pe2402"
"pe2501","PE","male","no","1966-99-99",NA,"pe9103","pe9174"
"pe2502","PE","female","no","1983-99-99",NA,"pe2801","pe2802"
"pe2503","PE","female","no","2004-99-99",NA,"pe2501","pe2502"
"pe2504","PE","male","no","2007-99-99",NA,"pe2501","pe2502"
"pe2505","PE","male","no","2010-99-99",NA,"pe2501","pe2502"
"pe2506","PE","male","no","2012-99-99",NA,"pe2501","pe2502"
"pe2507","PE","male","no","2015-99-99",NA,"pe2501","pe2502"
"pe2508","PE","male","no","2017-99-99",NA,"pe2501","pe2502"
"pe2601","PE","male","member","1983-99-99",NA,"pe9180","pe9836"
"pe2602","PE","female","member","1985-99-99",NA,"pe9197","pe9076"
"pe2603","PE","male","no","2000-99-99",NA,"pe2601","pe2602"
"pe2604","PE","female","no","2002-99-99",NA,"pe2601","pe2602"
"pe2605","PE","male","no","2004-99-99",NA,"pe2601","pe2602"
"pe2606","PE","male","no","2000-99-99",NA,"pe2601","pe2602"
"pe2607","PE","female","no","2004-99-99",NA,"pe2601","pe2602"
"pe2608","PE","female","no","2009-99-99",NA,"pe2601","pe2602"
"pe2609","PE","female","no","2013-99-99",NA,"pe2601","pe2602"
"pe2610","PE","female","no","2015-99-99",NA,"pe2601","pe2602"
"pe2611","PE","female","no","2011-99-99",NA,"pe2601","pe2602"
"pe2612","PE","male","no","2017-99-99",NA,"pe2601","pe2602"
"pe2701","PE","male","member","1972-99-99",NA,"pe9729","pe9707"
"pe2702","PE","female","member","1965-99-99",NA,"pe9821","pe9823"
"pe2704","PE","male","no","1999-99-99",NA,"pe2701","pe2702"
"pe2705","PE","male","no","2001-99-99",NA,"pe2701","pe2702"
"pe2706","PE","male","no","2007-99-99",NA,"pe2701","pe2702"
"pe2707","PE","male","no","2009-99-99",NA,"pe2701","pe2702"
"pe2708","PE","female","no","2011-99-99",NA,"pe2701","pe2702"
"pe2709","PE","female","no","2014-99-99",NA,"pe2701","pe2702"
"pe2710","PE","female","no","2015-99-99",NA,"pe2701","pe2702"
"pe2801","PE","male","spouse of member","1955-99-99",NA,"pe9729","pe9707"
"pe2802","PE","female","member","1970-99-99",NA,"pe9841","pe9842"
"pe2803","PE","male","no","1984-99-99",NA,"pe2801","pe2802"
"pe2804","PE","female","no","1995-99-99",NA,"pe2801","pe2802"
"pe2805","PE","male","no","1998-99-99",NA,"pe2801","pe2802"
"pe2806","PE","male","no","2011-99-99",NA,"missing","missing"
"pe2901","PE","male","no","1978-99-99",NA,"pe9110","pe9077"
"pe2902","PE","female","no","1975-99-99",NA,"pe9712","pe9713"
"pe2903","PE","female","no","1990-99-99",NA,"pe2901","pe2902"
"pe2904","PE","female","no","1993-99-99",NA,"pe2901","pe2902"
"pe2905","PE","female","no","2008-99-99",NA,"missing","missing"
"pe2906","PE","male","no","2013-99-99",NA,"missing","missing"
"pe2907","PE","female","no","2004-99-99",NA,"pe2901","pe2902"
"pe3101","PE","male","member","1963-99-99",NA,"pe9815","pe9816"
"pe3102","PE","female","spouse of member","1981-99-99",NA,"pe9080","pe9189"
"pe3103","PE","male","no","2000-99-99",NA,"pe3101","pe3102"
"pe3104","PE","male","no","2003-99-99",NA,"pe3101","pe3102"
"pe3105","PE","male","no","2006-99-99",NA,"pe3101","pe3102"
"pe3106","PE","male","no","2010-99-99",NA,"pe3101","pe3102"
"pe3107","PE","female","no","2012-99-99",NA,"pe3101","pe3102"
"pe3108","PE","male","no","2015-99-99",NA,"pe3101","pe3102"
"pe3109","PE","male","no","2016-99-99",NA,"pe3101","pe3102"
"pe3110","PE","female","no","2009-99-99",NA,"pe3101","pe3102"
"pe3201","PE","female","member","1958-99-99",NA,"pe9817","pe9748"
"pe3202","PE","male","no","2004-99-99",NA,"pe3101","pe3201"
"pe3203","PE","male","no","2008-99-99",NA,"pe3101","pe3201"
"pe3204","PE","female","no","1999-99-99",NA,"pe3101","pe3201"
"pe3205","PE","male","no","2000-99-99",NA,"pe3101","pe3201"
"pe3206","PE","male","no","1996-99-99",NA,"pe3101","pe3201"
"pe3207","PE","male","no","2002-99-99",NA,"pe3101","pe3201"
"pe3301","PE","male","spouse of member","1972-99-99",NA,"pe9918","pe9919"
"pe3302","PE","female","member","1972-99-99",NA,"pe9122","pe9047"
"pe3303","PE","male","no","1995-99-99",NA,"pe3301","pe3302"
"pe3304","PE","male","no","1998-99-99",NA,"pe3301","pe3302"
"pe3305","PE","male","no","2000-99-99",NA,"pe3301","pe3302"
"pe3306","PE","female","no","2001-99-99",NA,"pe3301","pe3302"
"pe3307","PE","female","no","2002-99-99",NA,"pe3301","pe3302"
"pe3308","PE","male","no","2004-99-99",NA,"pe3301","pe3302"
"pe3309","PE","female","no","2006-99-99",NA,"pe3301","pe3302"
"pe3310","PE","female","no","2009-99-99",NA,"pe3301","pe3302"
"pe3311","PE","male","no","2012-99-99",NA,"pe3301","pe3302"
"pe3401","PE","male","no","1968-99-99",NA,"pe9712","pe9713"
"pe3402","PE","female","no","1975-99-99",NA,"pe9806","pe9807"
"pe3403","PE","female","no","1998-99-99",NA,"pe3401","pe3402"
"pe3404","PE","female","no","2003-99-99",NA,"pe3401","pe3402"
"pe3405","PE","male","no","1998-99-99",NA,"pe3401","pe3402"
"pe3406","PE","male","no","2003-99-99",NA,"pe3401","pe3402"
"pe3407","PE","male","no","2008-99-99",NA,"pe3401","pe3402"
"pe3408","PE","male","no","2010-99-99",NA,"pe3401","pe3402"
"pe3409","PE","female","no","2013-99-99",NA,"pe3401","pe3402"
"pe3410","PE","male","no","2014-99-99",NA,"pe3401","pe3402"
"pe3411","PE","male","no","2018-99-99",NA,"missing","missing"
"pe3412","PE","female","no","2017-99-99",NA,"pe3401","pe3402"
"pe3501","PE","male","no","1955-99-99",NA,"pe9708","pe9709"
"pe3502","PE","female","member","1962-99-99",NA,"pe9710","pe9711"
"pe3504","PE","female","no","2002-99-99",NA,"missing","missing"
"pe3505","PE","female","no","2006-99-99",NA,"missing","missing"
"pe3506","PE","female","no","2011-99-99",NA,"missing","missing"
"pe3510","PE","","","NA-99-99",NA,NA,NA
"pe3701","PE","male","no","1994-99-99",NA,"pe0501","pe0502"
"pe3702","PE","female","no","1997-99-99",NA,"pe9172","pe9130"
"pe3703","PE","female","no","2017-99-99",NA,"pe3701","pe3702"
"pe3801","PE","male","no","1948-99-99",NA,"pe9712","pe9713"
"pe3802","PE","female","no","1960-99-99",NA,"pe9714","pe9715"
"pe3803","PE","male","no","1997-99-99",NA,"pe3801","pe3802"
"pe3901","PE","female","no","1944-99-99",NA,"pe9721","pe9722"
"pe3902","PE","female","no","2003-99-99",NA,"missing","missing"
"pe3903","PE","female","no","2007-99-99",NA,"missing","missing"
"pe3904","PE","male","no","1999-99-99",NA,"missing","missing"
"pe4101","PE","male","no","1991-99-99",NA,"missing","missing"
"pe4102","PE","female","no","1995-99-99",NA,"pe3801","pe3802"
"pe4103","PE","male","no","2016-99-99",NA,"missing","missing"
"pe4104","PE","female","no","2017-99-99",NA,"missing","missing"
"pe4301","PE","male","no","1979-99-99",NA,"pe4401","pe9803"
"pe4302","PE","female","no","1987-99-99",NA,"pe1701","pe1702"
"pe4303","PE","female","no","2001-99-99",NA,"pe4301","pe4302"
"pe4304","PE","male","no","2002-99-99",NA,"pe4301","pe4302"
"pe4305","PE","female","no","2004-99-99",NA,"pe4301","pe4302"
"pe4306","PE","male","no","2005-99-99",NA,"pe4301","pe4302"
"pe4307","PE","male","no","2007-99-99",NA,"pe4301","pe4302"
"pe4308","PE","female","no","2009-99-99",NA,"pe4301","pe4302"
"pe4309","PE","female","no","2012-99-99",NA,"pe4301","pe4302"
"pe4310","PE","female","no","2015-99-99",NA,"pe4301","pe4302"
"pe4311","PE","female","no","2017-99-99",NA,"pe4301","pe4302"
"pe4401","PE","male","spouse of member","1948-99-99",NA,"pe9808","pe9809"
"pe4402","PE","female","member","1962-99-99",NA,"pe9064","pe9049"
"pe4403","PE","male","no","1995-99-99",NA,"pe4401","pe4402"
"pe4404","PE","female","no","2010-99-99",NA,"missing","missing"
"pe4501","PE","male","spouse of member","1978-99-99",NA,"pe9827","pe9828"
"pe4502","PE","female","member","1978-99-99",NA,"pe9058","pe9840"
"pe4503","PE","female","no","2004-99-99",NA,"pe4501","pe4502"
"pe4504","PE","male","no","2002-99-99",NA,"pe4501","pe4502"
"pe4505","PE","male","no","2006-99-99",NA,"pe4501","pe4502"
"pe4506","PE","female","no","2008-99-99",NA,"pe4501","pe4502"
"pe4507","PE","male","no","2010-99-99",NA,"pe4501","pe4502"
"pe4508","PE","male","no","2012-99-99",NA,"pe4501","pe4502"
"pe4701","PE","male","no","1995-99-99",NA,"pe4901","pe4902"
"pe4702","PE","female","no","2000-99-99",NA,"pe9149","pe9200"
"pe4801","PE","male","no","1992-99-99",NA,"pe4901","pe4902"
"pe4802","PE","female","no","1996-99-99",NA,"pe0501","pe0502"
"pe4803","PE","female","no","2013-99-99",NA,"pe4801","pe4802"
"pe4804","PE","female","no","2015-99-99",NA,"pe4801","pe4802"
"pe4805","PE","male","no","2017-99-99",NA,"pe4801","pe4802"
"pe4901","PE","male","member","1972-99-99",NA,"pe9702","pe9703"
"pe4902","PE","female","member","1973-99-99",NA,"pe9718","pe3901"
"pe4903","PE","","","NA-99-99",NA,NA,NA
"pe4904","PE","male","no","2001-99-99",NA,"pe4901","pe4902"
"pe4905","PE","male","no","2003-99-99",NA,"pe4901","pe4902"
"pe4906","PE","female","no","2005-99-99",NA,"pe4901","pe4902"
"pe4907","PE","female","no","2008-99-99",NA,"pe4901","pe4902"
"pe4908","PE","female","no","2011-99-99",NA,"pe4901","pe4902"
"pe4909","PE","female","no","2014-99-99",NA,"pe4901","pe4902"
"pe4910","PE","female","no","2016-99-99",NA,"pe4901","pe4902"
"pe5201","PE","male","no","1969-99-99",NA,"pe9702","pe9836"
"pe5202","PE","female","no","1996-99-99",NA,"pe9023","pe9165"
"pe5203","PE","male","no","2015-99-99",NA,"missing","pe5202"
"pe5204","PE","male","no","2017-99-99",NA,"pe5201","pe5202"
"pe5301","PE","","","NA-99-99",NA,NA,NA
"pe5401","PE","female","no","1979-99-99",NA,"pe4401","pe9803"
"pe5402","PE","female","no","1994-99-99",NA,"pe5201","pe5401"
"pe5403","PE","female","no","1996-99-99",NA,"pe5201","pe5401"
"pe5404","PE","female","no","1998-99-99",NA,"pe5201","pe5401"
"pe5405","PE","female","no","2000-99-99",NA,"pe5201","pe5401"
"pe5406","PE","male","no","2002-99-99",NA,"pe5201","pe5401"
"pe5407","PE","female","no","2004-99-99",NA,"pe5201","pe5401"
"pe5408","PE","male","no","2006-99-99",NA,"pe5201","pe5401"
"pe5409","PE","male","no","2008-99-99",NA,"pe5201","pe5401"
"pe5410","PE","female","no","2010-99-99",NA,"pe5201","pe5401"
"pe5411","PE","female","no","2012-99-99",NA,"pe5201","pe5401"
"pe5412","PE","male","no","2014-99-99",NA,"pe5201","pe5401"
"pe5701","PE","female","no","1993-99-99",NA,"pe1701","pe1702"
"pe5702","PE","male","no","2015-99-99",NA,"pe4501","pe5701"
"pe5703","PE","male","no","2017-99-99",NA,"pe4501","pe5701"
"pe6002","PE","","","NA-99-99",NA,NA,NA
"pe6101","PE","male","spouse of member","1980-99-99",NA,"pe1701","pe1702"
"pe6102","PE","female","no","1989-99-99",NA,"pe9827","pe9828"
"pe6103","PE","male","no","2011-99-99",NA,"pe6101","pe6102"
"pe6104","PE","female","no","2013-99-99",NA,"pe6101","pe6102"
"pe6105","PE","male","no","2014-99-99",NA,"pe6101","pe6102"
"pe6106","PE","male","no","2016-99-99",NA,"pe6101","pe6102"
"pe6107","PE","female","no","2018-99-99",NA,"pe6101","pe6102"
"pe6201","PE","male","no","1996-99-99",NA,"pe9083","pe9176"
"pe7001","PE","","","NA-99-99",NA,NA,NA
"pe7002","PE","","","NA-99-99",NA,NA,NA
"pe7003","PE","","","NA-99-99",NA,NA,NA
"pe7004","PE","","","NA-99-99",NA,NA,NA
"pe7005","PE","","","NA-99-99",NA,NA,NA
"pe7007","PE","","","NA-99-99",NA,NA,NA
"pe7008","PE","","","NA-99-99",NA,NA,NA
"pe7009","PE","","","NA-99-99",NA,NA,NA
"pe7010","PE","","","NA-99-99",NA,NA,NA
"pe7011","PE","","","NA-99-99",NA,NA,NA
"pe7012","PE","","","NA-99-99",NA,NA,NA
"pe7013","PE","","","NA-99-99",NA,NA,NA
"pe7014","PE","","","NA-99-99",NA,NA,NA
"pe7015","PE","","","NA-99-99",NA,NA,NA
"pe7016","PE","","","NA-99-99",NA,NA,NA
"pe7017","PE","","","NA-99-99",NA,NA,NA
"pe7018","PE","","","NA-99-99",NA,NA,NA
"pe7019","PE","","","NA-99-99",NA,NA,NA
"pe7020","PE","","","NA-99-99",NA,NA,NA
"pe7021","PE","","","NA-99-99",NA,NA,NA
"pe7022","PE","","","NA-99-99",NA,NA,NA
"pe7023","PE","","","NA-99-99",NA,NA,NA
"pe7024","PE","","","NA-99-99",NA,NA,NA
"pe7025","PE","","","NA-99-99",NA,NA,NA
"pe7026","PE","","","NA-99-99",NA,NA,NA
"pe7027","PE","","","NA-99-99",NA,NA,NA
"pe7028","PE","","","NA-99-99",NA,NA,NA
"pe7029","PE","","","NA-99-99",NA,NA,NA
"pe7030","PE","","","NA-99-99",NA,NA,NA
"pe7031","PE","","","NA-99-99",NA,NA,NA
"pe7032","PE","","","NA-99-99",NA,NA,NA
"pe7033","PE","","","NA-99-99",NA,NA,NA
"pe7034","PE","","","NA-99-99",NA,NA,NA
"pe7035","PE","","","NA-99-99",NA,NA,NA
"pe7036","PE","","","NA-99-99",NA,NA,NA
"pe7037","PE","","","NA-99-99",NA,NA,NA
"pe7038","PE","","","NA-99-99",NA,NA,NA
"pe7039","PE","","","NA-99-99",NA,NA,NA
"pe7040","PE","","","NA-99-99",NA,NA,NA
"pe7041","PE","","","NA-99-99",NA,NA,NA
"pe7042","PE","","","NA-99-99",NA,NA,NA
"pe7043","PE","","","NA-99-99",NA,NA,NA
"pe7044","PE","","","NA-99-99",NA,NA,NA
"pe7045","PE","","","NA-99-99",NA,NA,NA
"pe7046","PE","","","NA-99-99",NA,NA,NA
"pe7047","PE","","","NA-99-99",NA,NA,NA
"pe7048","PE","","","NA-99-99",NA,NA,NA
"pe7049","PE","","","NA-99-99",NA,NA,NA
"pe7050","PE","","","NA-99-99",NA,NA,NA
"pe7051","PE","","","NA-99-99",NA,NA,NA
"pe7052","PE","","","NA-99-99",NA,NA,NA
"pe7053","PE","","","NA-99-99",NA,NA,NA
"pe7054","PE","","","NA-99-99",NA,NA,NA
"pe7055","PE","","","NA-99-99",NA,NA,NA
"pe7056","PE","","","NA-99-99",NA,NA,NA
"pe7057","PE","","","NA-99-99",NA,NA,NA
"pe7058","PE","","","NA-99-99",NA,NA,NA
"pe7059","PE","","","NA-99-99",NA,NA,NA
"pe7060","PE","","","NA-99-99",NA,NA,NA
"pe7061","PE","","","NA-99-99",NA,NA,NA
"pe7063","PE","","","NA-99-99",NA,NA,NA
"pe7064","PE","","","NA-99-99",NA,NA,NA
"pe7065","PE","","","NA-99-99",NA,NA,NA
"pe7066","PE","","","NA-99-99",NA,NA,NA
"pe7067","PE","","","NA-99-99",NA,NA,NA
"pe7068","PE","","","NA-99-99",NA,NA,NA
"pe7069","PE","","","NA-99-99",NA,NA,NA
"pe7070","PE","","","NA-99-99",NA,NA,NA
"pe7071","PE","","","NA-99-99",NA,NA,NA
"pe7072","PE","","","NA-99-99",NA,NA,NA
"pe7073","PE","","","NA-99-99",NA,NA,NA
"pe7074","PE","","","NA-99-99",NA,NA,NA
"pe7075","PE","","","NA-99-99",NA,NA,NA
"pe7076","PE","","","NA-99-99",NA,NA,NA
"pe7077","PE","","","NA-99-99",NA,NA,NA
"pe7078","PE","","","NA-99-99",NA,NA,NA
"pe7079","PE","","","NA-99-99",NA,NA,NA
"pe7080","PE","","","NA-99-99",NA,NA,NA
"pe7081","PE","","","NA-99-99",NA,NA,NA
"pe7082","PE","","","NA-99-99",NA,NA,NA
"pe7083","PE","","","NA-99-99",NA,NA,NA
"pe7084","PE","","","NA-99-99",NA,NA,NA
"pe7085","PE","","","NA-99-99",NA,NA,NA
"pe7086","PE","","","NA-99-99",NA,NA,NA
"pe7087","PE","","","NA-99-99",NA,NA,NA
"pe7088","PE","","","NA-99-99",NA,NA,NA
"pe7089","PE","","","NA-99-99",NA,NA,NA
"pe7090","PE","","","NA-99-99",NA,NA,NA
"pe7091","PE","","","NA-99-99",NA,NA,NA
"pe7092","PE","","","NA-99-99",NA,NA,NA
"pe7094","PE","","","NA-99-99",NA,NA,NA
"pe7096","PE","","","NA-99-99",NA,NA,NA
"pe7097","PE","","","NA-99-99",NA,NA,NA
"pe7098","PE","","","NA-99-99",NA,NA,NA
"pe7099","PE","","","NA-99-99",NA,NA,NA
"pe7100","PE","","","NA-99-99",NA,NA,NA
"pe7101","PE","","","NA-99-99",NA,NA,NA
"pe7102","PE","","","NA-99-99",NA,NA,NA
"pe7103","PE","","","NA-99-99",NA,NA,NA
"pe7104","PE","","","NA-99-99",NA,NA,NA
"pe7105","PE","","","NA-99-99",NA,NA,NA
"pe7106","PE","","","NA-99-99",NA,NA,NA
"pe7107","PE","","","NA-99-99",NA,NA,NA
"pe7108","PE","","","NA-99-99",NA,NA,NA
"pe7109","PE","","","NA-99-99",NA,NA,NA
"pe7110","PE","","","NA-99-99",NA,NA,NA
"pe7111","PE","","","NA-99-99",NA,NA,NA
"pe7112","PE","","","NA-99-99",NA,NA,NA
"pe7113","PE","","","NA-99-99",NA,NA,NA
"pe7114","PE","","","NA-99-99",NA,NA,NA
"pe7115","PE","","","NA-99-99",NA,NA,NA
"pe7116","PE","","","NA-99-99",NA,NA,NA
"pe7117","PE","","","NA-99-99",NA,NA,NA
"pe7118","PE","","","NA-99-99",NA,NA,NA
"pe7119","PE","","","NA-99-99",NA,NA,NA
"pe7120","PE","","","NA-99-99",NA,NA,NA
"pe7121","PE","","","NA-99-99",NA,NA,NA
"pe7122","PE","","","NA-99-99",NA,NA,NA
"pe7123","PE","","","NA-99-99",NA,NA,NA
"pe7124","PE","","","NA-99-99",NA,NA,NA
"pe7125","PE","","","NA-99-99",NA,NA,NA
"pe7126","PE","","","NA-99-99",NA,NA,NA
"pe7127","PE","","","NA-99-99",NA,NA,NA
"pe7128","PE","","","NA-99-99",NA,NA,NA
"pe7129","PE","","","NA-99-99",NA,NA,NA
"pe7130","PE","","","NA-99-99",NA,NA,NA
